"Id","Success","Created","Error"
"001aZ00000dk0aUQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0avQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aVQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0awQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aWQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0axQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aXQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0ayQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aYQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0azQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aZQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0b0QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0b1QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0b2QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0b3QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0b4QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0b5QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
